<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.02.28	20:00:00	1906.479	1910.869	1904.640	1906.268	10282	0	0
2022.03.01	00:00:00	1906.236	1907.804	1901.217	1905.654	11765	0	0
2022.03.01	04:00:00	1905.623	1908.736	1904.570	1907.670	12261	0	0
2022.03.01	08:00:00	1907.702	1926.301	1907.182	1920.251	24249	0	0
2022.03.01	12:00:00	1920.282	1929.705	1910.869	1926.538	40844	0	0
2022.03.01	16:00:00	1926.568	1942.741	1923.269	1940.349	34079	0	0
2022.03.01	20:00:00	1940.358	1949.979	1939.195	1942.269	14738	0	0
2022.03.02	00:00:00	1942.264	1943.775	1930.979	1935.777	19388	0	0
2022.03.02	04:00:00	1935.747	1947.706	1931.555	1944.728	21836	0	0
2022.03.02	08:00:00	1944.744	1944.744	1913.468	1929.352	33064	0	0
2022.03.02	12:00:00	1929.322	1935.584	1922.238	1926.912	41967	0	0
2022.03.02	16:00:00	1926.941	1928.531	1914.908	1927.752	28994	0	0
2022.03.02	20:00:00	1927.783	1933.286	1924.627	1928.835	11076	0	0
2022.03.03	00:00:00	1928.805	1930.783	1926.162	1927.406	13601	0	0
2022.03.03	04:00:00	1927.401	1932.313	1921.838	1932.067	16031	0	0
2022.03.03	08:00:00	1932.097	1938.651	1923.508	1932.448	21135	0	0
2022.03.03	12:00:00	1932.426	1937.034	1924.367	1926.243	36031	0	0
2022.03.03	16:00:00	1926.257	1935.694	1923.018	1935.262	25427	0	0
2022.03.03	20:00:00	1935.256	1941.243	1934.837	1934.870	9656	0	0
2022.03.04	00:00:00	1934.879	1950.820	1929.366	1939.554	34555	0	0
2022.03.04	04:00:00	1939.568	1940.575	1934.028	1936.131	16529	0	0
2022.03.04	08:00:00	1936.163	1949.008	1933.960	1946.416	21786	0	0
2022.03.04	12:00:00	1946.384	1959.367	1939.835	1957.928	42663	0	0
2022.03.04	16:00:00	1957.958	1969.946	1956.684	1967.101	26505	0	0
2022.03.04	20:00:00	1967.069	1970.844	1965.220	1970.317	10687	0	0
2022.03.06	20:00:00	1981.416	1991.349	1981.269	1988.583	11613	0	0
2022.03.07	00:00:00	1988.600	2000.777	1984.726	1989.979	36672	0	0
2022.03.07	04:00:00	1989.952	1993.080	1975.732	1992.957	26872	0	0
2022.03.07	08:00:00	1992.992	2002.716	1985.641	1990.265	34198	0	0
2022.03.07	12:00:00	1990.232	1991.365	1960.799	1980.854	71864	0	0
2022.03.07	16:00:00	1980.886	1997.314	1974.719	1995.936	39055	0	0
2022.03.07	20:00:00	1995.967	1999.819	1992.181	1998.703	14163	0	0
2022.03.08	00:00:00	1998.736	2000.034	1980.856	1985.959	20753	0	0
2022.03.08	04:00:00	1985.938	2020.735	1985.532	2016.256	31917	0	0
2022.03.08	08:00:00	2016.226	2020.120	1999.141	2009.193	36264	0	0
2022.03.08	12:00:00	2009.204	2069.768	2003.473	2047.128	94518	0	0
2022.03.08	16:00:00	2047.161	2070.292	2021.108	2039.377	112787	0	0
2022.03.08	20:00:00	2039.418	2054.176	2032.377	2043.828	21181	0	0
2022.03.09	00:00:00	2043.799	2057.488	2035.119	2056.863	31706	0	0
2022.03.09	04:00:00	2056.885	2059.010	2038.076	2045.861	29688	0	0
2022.03.09	08:00:00	2045.892	2049.282	2003.916	2011.643	52877	0	0
2022.03.09	12:00:00	2011.646	2021.478	1975.866	1995.851	77866	0	0
2022.03.09	16:00:00	1995.853	2005.481	1979.577	1989.567	52691	0	0
2022.03.09	20:00:00	1989.559	1999.081	1986.905	1989.867	17748	0	0
2022.03.10	00:00:00	1989.862	1989.975	1970.412	1976.396	26025	0	0
2022.03.10	04:00:00	1976.398	1988.945	1974.103	1975.103	22714	0	0
2022.03.10	08:00:00	1975.213	2007.865	1974.712	2005.187	44756	0	0
2022.03.10	12:00:00	2005.220	2009.102	1981.503	1995.151	65555	0	0
2022.03.10	16:00:00	1995.158	2005.990	1990.336	1996.217	35511	0	0
2022.03.10	20:00:00	1996.222	2003.349	1993.921	1995.387	11466	0	0
2022.03.11	00:00:00	1995.388	1997.308	1988.201	1991.040	16751	0	0
2022.03.11	04:00:00	1991.045	1992.452	1980.871	1991.398	19951	0	0
2022.03.11	08:00:00	1991.554	1994.983	1969.345	1979.558	28658	0	0
2022.03.11	12:00:00	1979.571	1982.015	1958.366	1980.713	58446	0	0
2022.03.11	16:00:00	1980.734	1989.990	1978.305	1985.488	31239	0	0
2022.03.11	20:00:00	1985.485	1988.392	1982.142	1988.214	7977	0	0
2022.03.13	20:00:00	1980.342	1983.847	1970.760	1974.302	8522	0	0
2022.03.14	00:00:00	1974.263	1978.865	1969.792	1975.640	16348	0	0
2022.03.14	04:00:00	1975.642	1978.272	1970.997	1972.738	15632	0	0
2022.03.14	08:00:00	1972.770	1973.468	1954.337	1965.321	29371	0	0
2022.03.14	12:00:00	1965.288	1967.921	1949.352	1954.603	41498	0	0
2022.03.14	16:00:00	1954.600	1961.861	1950.622	1952.630	22973	0	0
2022.03.14	20:00:00	1952.600	1954.617	1950.197	1952.184	6613	0	0
2022.03.15	00:00:00	1952.176	1952.208	1939.371	1942.142	20274	0	0
2022.03.15	04:00:00	1942.154	1942.336	1924.697	1929.224	24151	0	0
2022.03.15	08:00:00	1929.194	1935.330	1920.527	1926.511	27244	0	0
2022.03.15	12:00:00	1926.481	1928.775	1906.916	1925.182	49306	0	0
2022.03.15	16:00:00	1925.214	1930.951	1916.276	1916.736	27086	0	0
2022.03.15	20:00:00	1916.706	1920.564	1913.874	1918.085	6169	0	0
2022.03.16	00:00:00	1918.082	1924.791	1917.170	1917.903	15825	0	0
2022.03.16	04:00:00	1917.901	1919.946	1912.326	1916.104	14472	0	0
2022.03.16	08:00:00	1916.134	1926.994	1911.517	1924.640	20896	0	0
2022.03.16	12:00:00	1924.607	1925.559	1903.516	1911.708	43202	0	0
